,user name,number of repositories,number of stars,mean stars per repo
0,GrahamCampbell,21,2551,121.47619047619048
1,fabpot,49,3382,69.0204081632653
2,weierophinney,79,3545,44.87341772151899
3,rkh,109,4472,41.027522935779814
4,josh,139,6092,43.827338129496404
5,SamyPesse,169,25114,148.60355029585799
6,rstacruz,199,25945,130.37688442211055
7,tmm1,229,26593,116.12663755458516
8,michalbe,259,26757,103.3088803088803
9,andrew,289,26871,92.97923875432527
10,Ocramius,319,26969,84.5423197492163
11,c9s,349,27138,77.7593123209169
12,steipete,379,42385,111.83377308707124
13,feross,409,44395,108.54523227383864
14,afc163,439,44474,101.30751708428247
15,ornicar,469,44784,95.48827292110875
16,afollestad,493,66171,134.2210953346856
17,KrauseFx,523,67475,129.01529636711282
18,tmcw,553,69816,126.249547920434
19,bevacqua,583,70715,121.295025728988
20,mikermcneil,613,70782,115.46818923327896
21,taylorotwell,614,70785,115.28501628664495
22,phodal,644,73534,114.1832298136646
23,gdi2290,674,73566,109.14836795252225
24,benbalter,704,73965,105.06392045454545
25,dcramer,734,75913,103.42370572207085
26,HugoGiraudel,764,78881,103.24738219895288
27,mrmrs,794,87196,109.81863979848866
28,hadley,824,89130,108.16747572815534
29,alex,854,89264,104.52459016393442
30,mbostock,884,90168,102.0
31,atmos,914,91334,99.92778993435448
32,DataTables,944,96551,102.27860169491525
33,yyx990803,974,96769,99.35215605749487
34,kevinsawicki,1004,96964,96.57768924302789
35,mdo,1034,110753,107.11121856866538
36,jonathanong,1064,111368,104.66917293233082
37,nvie,1094,111621,102.03016453382084
38,JedWatson,1124,118511,105.43683274021352
39,michaelklishin,1154,118988,103.10918544194108
40,orta,1184,120780,102.01013513513513
41,frsyuki,1214,120916,99.60131795716639
42,steveklabnik,1244,120978,97.2491961414791
43,josegonzalez,1274,121093,95.04945054945055
44,josephmisiti,1304,147389,113.02837423312883
45,nicolasgramlich,1334,151463,113.54047976011994
46,zcbenz,1362,153573,112.75550660792952
47,pippinsplugins,1392,153773,110.4691091954023
48,robrix,1422,154084,108.35724331926863
49,parkr,1452,154330,106.28787878787878
50,paulcbetts,1482,154486,104.24156545209176
51,jdalton,1498,154706,103.27503337783712
52,markstory,1528,155434,101.7238219895288
53,donnemartin,1555,216460,139.20257234726688
54,dsyer,1585,216494,136.58927444794952
55,mgechev,1615,223343,138.29287925696593
56,radar,1645,224640,136.55927051671733
57,JakeWharton,1675,259099,154.68597014925373
58,jverkoey,1705,268969,157.75307917888563
59,josevalim,1732,271343,156.66454965357968
60,gaearon,1762,272638,154.7321225879682
61,nixzhu,1792,279228,155.81919642857142
62,kripken,1822,295431,162.14654226125137
63,joshaber,1852,297566,160.67278617710582
64,suissa,1882,297627,158.143995749203
65,geerlingguy,1912,299456,156.6192468619247
66,stefanpenner,1942,299483,154.21369721936148
67,springmeyer,1972,299836,152.04665314401623
68,dlew,2002,301731,150.71478521478522
69,EisenbergEffect,2008,301790,150.2938247011952
70,numbbbbb,2038,302600,148.47890088321884
71,vladikoff,2068,302683,146.36508704061896
72,rafaelfranca,2098,302708,144.2840800762631
73,paulmillr,2128,311309,146.29182330827066
74,Raynos,2158,311563,144.3758109360519
75,zenorocha,2188,341584,156.11700182815358
76,Urigo,2218,345644,155.83588818755635
77,remy,2248,346638,154.19839857651246
78,overtrue,2278,350813,154.00043898156278
79,eduardolundgren,2308,351383,152.2456672443674
80,davidsonfellipe,2338,357698,152.99315654405476
81,notwaldorf,2368,360076,152.0591216216216
82,JaviSoto,2398,360178,150.19933277731442
83,dominictarr,2428,360326,148.4044481054366
84,substack,2458,361033,146.88079739625712
85,ashfurrow,2488,362064,145.524115755627
86,kylef,2518,367188,145.82525814138205
87,yiminghe,2548,368877,144.77119309262167
88,soffes,2578,371031,143.922032583398
89,mattdesl,2608,371405,142.4098926380368
90,willdurand,2638,374141,141.82752084912812
91,jedisct1,2668,374509,140.3706896551724
92,cvrebert,2698,374947,138.97220163083765
93,soyjavi,2728,375117,137.50623167155425
94,technoweenie,2758,377550,136.8926758520667
95,brianleroux,2788,377679,135.46592539454807
96,Seldaek,2818,377753,134.0500354861604
97,barretlee,2848,379683,133.31566011235955
98,rauchg,2878,381431,132.53335649756775
99,mitsuhiko,2908,382022,131.36932599724898
100,indutny,2938,383037,130.37338325391423
101,CamDavidsonPilon,2968,397246,133.84299191374663
102,sahat,2998,397342,132.53569046030688
103,mafintosh,3028,398945,131.7519815059445
104,kytrinyx,3058,399306,130.5775016350556
105,staltz,3088,400011,129.53724093264248
106,jeremy,3118,400046,128.30211674150095
107,FezVrasta,3148,419017,133.10578144853875
108,yihui,3178,419614,132.03713027061045
109,fzaninotto,3208,433379,135.09320448877804
110,ai,3238,440705,136.10407659048795
111,jnunemaker,3268,443553,135.72613219094248
112,liu21st,3273,444188,135.71280171096853
113,zilongshanren,3303,444389,134.54102331214048
114,Shougo,3333,455588,136.6900690069007
115,soumith,3363,459509,136.63663395777579
116,dougwilson,3393,459723,135.49160035366933
117,tomchristie,3419,460803,134.77712781515064
118,arunoda,3449,460918,133.63815598724267
119,madskristensen,3479,461347,132.60908306984766
120,mrdoob,3509,505639,144.09774864633798
121,ericholscher,3539,505963,142.96778751059622
122,pedrovgs,3569,520110,145.72989632950407
123,kentcdodds,3599,521216,144.82245068074465
124,mikepenz,3629,529762,145.98015982364288
125,ashleygwilliams,3659,529935,144.83055479639245
126,mathiasbynens,3689,530267,143.7427487123882
127,bbatsov,3719,533197,143.3710674912611
128,muan,3749,536056,142.98639637236596
129,brentvatne,3779,536158,141.87827467584017
130,mitchellh,3809,540176,141.81569965870307
131,weaverryan,3839,540196,140.7126855952071
132,jgm,3869,542082,140.10907211165676
133,ddollar,3899,542278,139.08130289817902
134,jakiestfu,3929,552501,140.62127767879866
135,pkrumins,3959,553046,139.6933569083102
136,mattn,3989,553633,138.7899222862873
137,Unknwon,4019,567854,141.29236128390147
138,ebidel,4049,572089,141.29142998271178
139,samdark,4079,572261,140.29443491051728
140,alloy,4109,572693,139.37527378924312
141,jamesward,4139,572749,138.378593863252
142,indragiek,4169,576994,138.401055408971
143,tokuhirom,4199,577203,137.46201476542035
144,schwa,4219,578799,137.1886703010192
145,thomasdavis,4249,583189,137.2532360555425
146,curran,4279,583328,136.32344005608786
147,amasad,4309,583344,135.3780459503365
148,torvalds,4313,633668,146.920472988639
149,drnic,4343,633978,145.9769744416302
150,leafo,4373,634647,145.12851589297964
151,rwaldron,4403,634670,144.14490120372474
152,benjamn,4433,635124,143.2718249492443
153,Caged,4463,636151,142.53887519605647
154,jessesquires,4493,637184,141.8170487424883
155,chjj,4523,645228,142.65487508290957
156,mcollina,4553,646451,141.98352734460795
157,mjackson,4583,646901,141.15230198559894
158,swannodette,4613,647353,140.33232169954476
159,tqchen,4630,648748,140.11835853131748
160,simurai,4660,649428,139.36223175965665
161,jlord,4690,649936,138.57910447761193
162,domenic,4720,651495,138.02860169491527
163,marijnh,4750,654053,137.69536842105262
164,appleboy,4780,654087,136.83828451882846
165,vhf,4810,654117,135.99106029106028
166,sferik,4840,654605,135.24896694214877
167,QuincyLarson,4870,654786,134.452977412731
168,prakhar1989,4900,677747,138.31571428571428
169,angusshire,4908,679322,138.41116544417278
170,nzakas,4938,685036,138.72742000810044
171,kittens,4968,685099,137.90237520128824
172,StephenGrider,4998,686354,137.32573029211684
173,thejameskyle,5028,686443,136.52406523468576
174,kriskowal,5058,686866,135.79794385132465
175,kevva,5088,687398,135.10180817610063
176,gorhill,5109,702766,137.5545116461147
177,creationix,5139,703078,136.81222027631836
178,hemanth,5169,704619,136.3163087637841
179,ibdknox,5199,705276,135.65608770917484
180,chenglou,5229,705437,134.90858672786385
181,ChenYilong,5259,717106,136.3578627115421
182,ericelliott,5289,718842,135.9126488939308
183,Haacked,5319,719450,135.26038729084414
184,ekmett,5349,720042,134.61245092540662
185,davecheney,5379,720233,133.89719278676333
186,kazuho,5409,720458,133.19615455721944
187,rdegges,5439,721978,132.74094502665932
188,shiffman,5469,722828,132.16822088133114
189,tylermcginnis,5499,723005,131.4793598836152
190,apotonick,5529,724194,130.98100922409117
191,lihaoyi,5559,730274,131.36787191940996
192,chrisjenx,5589,737816,132.0121667561281
193,aaronpk,5619,737985,131.33742658836093
194,evanw,5649,739305,130.87360594795538
195,purcell,5679,739471,130.21148089452367
196,leebyron,5709,740246,129.66298826414433
197,agentzh,5739,741241,129.15856420979264
198,jskeet,5761,741711,128.74691893768443
199,samuelclay,5786,746669,129.04752851711027
200,maxogden,5816,754086,129.65715268225586
201,samccone,5846,754114,128.99657885733836
202,swankjesse,5857,754178,128.7652381765409
203,jamesmontemagno,5887,754496,128.16307117377272
204,jiyinyiyong,5917,754514,127.51630894034139
205,mourner,5947,755569,127.05044560282495
206,drakeet,5977,758869,126.96486531704869
207,wbond,6007,765271,127.39653737306476
208,jennschiffer,6037,765782,126.84810336259731
209,willianjusten,6067,771160,127.10730179660459
210,tekkub,6085,771530,126.79211175020542
211,kohsuke,6115,772332,126.30122649223222
212,passy,6145,774904,126.10317331163547
213,gitster,6153,775452,126.02827888834715
214,stof,6183,775480,125.42131651301958
215,ankane,6213,780041,125.54981490423306
216,ericdouglas,6243,780813,125.07015857760692
217,hueniverse,6264,784975,125.31529374201789
218,olivergierke,6294,785351,124.7777248172863
219,kishikawakatsumi,6324,791159,125.10420619860848
220,balupton,6354,791426,124.55555555555556
221,jamztang,6384,794491,124.45034461152882
222,be5invis,6414,799554,124.6576239476146
223,grp,6444,801339,124.35428305400373
224,mjhea0,6474,801432,123.79240037071362
225,ammeep,6501,801622,123.30749115520689
226,kartik-v,6531,805841,123.3870770173021
227,SamSaffron,6561,805941,122.83813443072702
228,weavejester,6591,807768,122.55621301775147
229,cyanogen,6601,807805,122.37615512801091
230,AllenDowney,6631,808331,121.90182476247927
231,mariotaku,6661,808474,121.37426812790872
232,webmozart,6691,809709,121.01464654012852
233,cheeaun,6721,810166,120.54247879779794
234,sebastianbergmann,6751,813523,120.50407347059695
235,addyosmani,6781,825476,121.73366760064887
236,rasbt,6811,840537,123.40875055057994
237,azat-co,6841,842332,123.12995176143839
238,davidfowl,6871,842771,122.65623635569786
239,fnando,6901,844909,122.43283582089552
240,macournoyer,6931,845870,122.04155244553455
241,robdodson,6961,846285,121.57520471196668
242,toddmotto,6991,860026,123.01902446002002
243,paulirish,7021,861658,122.72582253240279
244,juliangruber,7051,862071,122.26223230747412
245,bkeepers,7081,866549,122.37664171727157
246,mli,7108,867561,122.05416432189082
247,walkor,7138,876149,122.74432614177641
248,zpao,7168,876382,122.26311383928571
249,una,7198,881009,122.39636010002779
250,tj,7228,892630,123.4961261759823
251,johnpapa,7258,917386,126.39652796913751
252,amueller,7288,917698,125.91904500548847
253,AdamBien,7318,918619,125.52869636512709
254,akrabat,7348,918805,125.0415078933043
